url,titulo,categoria,origen,precio,precio_por_kg,peso_volumen,proteinas,carbohidratos,grasas,fibra,azucares,saturadas,sal,calorias,calorias_kj,texto_busqueda,norm_precio,norm_nutri,score_nutricional
https://www.ahorramas.com/pera-conferencia-17612.html,pera conferencia,frescos_ofertas,ahorramas,2.29,2.29,,,,,,,,,,,pera conferencia frescos_ofertas,0.9893,0.0,0.0
https://www.ahorramas.com/lomo-pez-espada-18233.html,lomo pez espada,frescos_ofertas,ahorramas,14.99,14.99,,,,,,,,,,,lomo pez espada frescos_ofertas,0.9206,0.0,0.0
https://www.ahorramas.com/brocoli-500g-69953.html,brócoli 500g,frescos_ofertas,ahorramas,1.29,,500g,,,,,,,,,,brócoli 500g frescos_ofertas,0.9947,0.0,0.0
https://www.ahorramas.com/lote-1kg-pechugas-de-pollo-1kg-de-muslos-76450.html,lote 1kg pechugas de pollo  1kg de muslos,frescos_ofertas,ahorramas,4.99,4.99,1kg,,,,,,,,,,lote 1kg pechugas de pollo 1kg de muslos frescos_ofertas,0.9747,0.0,0.0
https://www.ahorramas.com/kiwi-nacional-15055.html,kiwi nacional,frescos_ofertas,ahorramas,3.29,3.29,,,,,,,,,,,kiwi nacional frescos_ofertas,0.9839,0.0,0.0
https://www.ahorramas.com/lote-250gr-jamon-cocido250gr-pechuga-pavo250gr-queso-barra-98056.html,lote 250gr jamón cocido250gr pechuga pavo250gr queso barra,frescos_ofertas,ahorramas,14.65,14.65,,1.0,1.0,279.0,,1.0,0.69,94.0,108.0,453.0,lote 250gr jamón cocido250gr pechuga pavo250gr queso barra frescos_ofertas,0.9224,0.0,0.0
https://www.ahorramas.com/gallo-de-racion-21101.html,gallo de ración,frescos_ofertas,ahorramas,7.99,7.99,,,,,,,,,,,gallo de ración frescos_ofertas,0.9585,0.0,0.0
https://www.ahorramas.com/tomate-cherokee-52600.html,tomate cherokee,frescos_ofertas,ahorramas,3.99,3.99,,,,,,,,,,,tomate cherokee frescos_ofertas,0.9801,0.0,0.0
https://www.ahorramas.com/poton-del-pacifico-en-anillas-24534.html,potón del pacífico en anillas,frescos_ofertas,ahorramas,7.99,7.99,,,,,,,,,,,potón del pacífico en anillas frescos_ofertas,0.9585,0.0,0.0
https://www.ahorramas.com/chuletas-de-cordero-lechal-por-carres-11995.html,chuletas de cordero lechal por carrés,frescos_ofertas,ahorramas,19.99,19.99,1.1kg,,,,,,,,,,chuletas de cordero lechal por carrés frescos_ofertas,0.8935,0.0,0.0
https://www.ahorramas.com/bacon-ahumado-alipende-210g-38817.html,bacon ahumado alipende 210g,frescos_ofertas,ahorramas,2.15,,210g,,,,,,,,,,bacon ahumado alipende 210g frescos_ofertas,0.9901,0.0,0.0
https://www.ahorramas.com/kiwi-bandeja-1kg-50074.html,kiwi bandeja 1kg,frescos_ofertas,ahorramas,2.89,,1kg,,,,,,,,,,kiwi bandeja 1kg frescos_ofertas,0.9861,0.0,0.0
https://www.ahorramas.com/alas-de-pollo-amarillo-pazo-de-pias-18074.html,alas de pollo amarillo pazo de pías,carniceria,ahorramas,5.99,5.99,,,,,,,,,,,alas de pollo amarillo pazo de pías carniceria,0.9693,0.0,0.0
https://www.ahorramas.com/traseros-de-pollo-amarillo-pazo-de-pias-11896.html,traseros de pollo amarillo pazo de pías,carniceria,ahorramas,4.99,4.99,,,,,,,,,,,traseros de pollo amarillo pazo de pías carniceria,0.9747,0.0,0.0
https://www.ahorramas.com/costilla-de-cerdo-adoba-alipende-78083.html,costilla de cerdo adoba alipende,carniceria,ahorramas,7.99,7.99,,,,,,,,,,,costilla de cerdo adoba alipende carniceria,0.9585,0.0,0.0
https://www.ahorramas.com/lote-de-pollo-1kg-de-pechugas-1kg-de-alas-54514.html,lote de pollo 1kg de pechugas  1kg de alas,carniceria,ahorramas,6.49,6.49,1kg,,,,,,,,,,lote de pollo 1kg de pechugas 1kg de alas carniceria,0.9666,0.0,0.0
https://www.ahorramas.com/lote-de-pollo-1kg-de-contramuslos-1kg-de-jamoncitos-54513.html,lote de pollo 1kg de contramuslos  1kg de jamoncitos,carniceria,ahorramas,5.49,5.49,1kg,,,,,,,,,,lote de pollo 1kg de contramuslos 1kg de jamoncitos carniceria,0.972,0.0,0.0
https://www.ahorramas.com/ragout-de-anojo-65107.html,ragout de añojo,carniceria,ahorramas,16.99,16.99,,,,,,,,,,,ragout de añojo carniceria,0.9097,0.0,0.0
https://www.ahorramas.com/filetes-de-anojo-1aa-26002.html,filetes de añojo 1ªa,carniceria,ahorramas,18.99,18.99,,,,,,,,,,,filetes de añojo 1ªa carniceria,0.8989,0.0,0.0
https://www.ahorramas.com/lote-2-kg-de-pechugas-de-pollo-75152.html,lote 2 kg de pechugas de pollo,carniceria,ahorramas,7.99,7.99,2kg,,,,,,,,,,lote 2 kg de pechugas de pollo carniceria,0.9585,0.0,0.0
https://www.ahorramas.com/cinta-de-lomo-adobada-cerdo-duroc-67654.html,cinta de lomo adobada cerdo duroc,carniceria,ahorramas,8.99,8.99,,20739.0,0.809,5.309,0.009,0.759,,1909.0,133.82,,cinta de lomo adobada cerdo duroc carniceria,0.9531,0.2626,0.0
https://www.ahorramas.com/pechuga-de-pollo-10634.html,pechuga de pollo,carniceria,ahorramas,7.99,7.99,,,,,,,,,,,pechuga de pollo carniceria,0.9585,0.0,0.0
https://www.ahorramas.com/entrecotte-de-vaca-77211.html,entrecotte de vaca,carniceria,ahorramas,22.99,22.99,,,,,,,,,,,entrecotte de vaca carniceria,0.8772,0.0,0.0
https://www.ahorramas.com/lote-de-4-unidades-de-burguer-meat-de-anojo-angus-150g-ud-31998.html,lote de 4 unidades de burguer meat de añojo angus 150g/ud,carniceria,ahorramas,10.5,,150g,,,,,,,,,,lote de 4 unidades de burguer meat de añojo angus 150g/ud carniceria,0.9449,0.0,0.0
https://www.ahorramas.com/filetes-de-anojo-1ab-26003.html,filetes de añojo 1ªb,carniceria,ahorramas,17.99,17.99,,,,,,,,,,,filetes de añojo 1ªb carniceria,0.9043,0.0,0.0
https://www.ahorramas.com/lote-1-kg-de-pechugas-1-kg-de-jamoncitos-1-kg-de-contramuslos-de-pollo-42219.html,lote 1 kg de pechugas  1 kg de jamoncitos  1 kg de contramuslos de pollo,pollo,ahorramas,6.32,6.32,1kg,,,,,,,,,,lote 1 kg de pechugas 1 kg de jamoncitos 1 kg de contramuslos de pollo pollo,0.9675,0.0,0.0
https://www.ahorramas.com/lote-de-pollo-1-kg-pechugas-1-kg-de-traseros-1-kg-de-alas-71772.html,lote de pollo 1 kg pechugas  1 kg de traseros  1 kg de alas,pollo,ahorramas,5.66,5.66,1kg,,,,,,,,,,lote de pollo 1 kg pechugas 1 kg de traseros 1 kg de alas pollo,0.9711,0.0,0.0
https://www.ahorramas.com/lote-2kg-de-contramuslos-de-pollo-84066.html,lote 2kg de contramuslos de pollo,pollo,ahorramas,5.99,5.99,2kg,,,,,,,,,,lote 2kg de contramuslos de pollo pollo,0.9693,0.0,0.0
https://www.ahorramas.com/pollo-limpio-entero-73586.html,pollo limpio entero,pollo,ahorramas,3.75,3.75,1.9kg,,,,,,,,,,pollo limpio entero pollo,0.9814,0.0,0.0
https://www.ahorramas.com/longaniza-de-pollo-gourmet-25855.html,longaniza de pollo gourmet,pollo,ahorramas,7.99,7.99,,1609.0,,,,,28.0,85.0,,,longaniza de pollo gourmet pollo,0.9585,0.0229,0.0
https://www.ahorramas.com/lote-2-kg-de-traseros-de-pollo-74321.html,lote 2 kg de traseros de pollo,pollo,ahorramas,3.99,3.99,2kg,,,,,,,,,,lote 2 kg de traseros de pollo pollo,0.9801,0.0,0.0
